,id,Học phần điều kiện,Tên tiếng anh,Tên viết tắt,Viện Quản lý
1817,1817,IT3080,Next Generation Network,Mạng thế hệ sau,KCNTT
1818,1818,IT3080,Industrial Networks,Mạng công nghiệp,KCNTT
1819,1819,IT4610,Mobile Computing,Tính toán di động,KCNTT
1820,1820,IT4660,Simulation of Communications Systems,Mô phỏng các hệ thống truyền thông,KCNTT
1821,1821,,Next-Generation Web,Web thế hệ mới,KCNTT
1822,1822,,Graduation Practicum,Thực tập tốt nghiệp,KCNTT
1823,1823,IT5000=,Graduation Project,Đồ án tốt nghiệp,KCNTT
1824,1824,"FL3013,FL3023,FL3033,FL3043",Research Methodology,Phương pháp nghiên cứu khoa học,KNN
1825,1825,,English for Nuclear Engineering,Tiếng Anh Kỹ thuật hạt nhân,KNN
1826,1826,"FL3014, FL3024, FL3034, FL3044",English Language Stylistics,Phong cách học tiếng Anh,KNN
1827,1827,"FL1310,FL3210,FL3220",Linguistic Contrastive Analysis,Đối chiếu ngôn ngữ,KNN
1828,1828,FL1310,Vietnamese Language Stylistics,Phong cách học tiếng Việt,KNN
1829,1829,FL1310,Vietnamese,Lý thuyết Tiếng Việt,KNN
1830,1830,,Basic Communication Skills,Kỹ năng giao tiếp cơ bản,KNN
1831,1831,"FL3013,FL3023, FL3033, FL3043",English for Electrical Engineering,TA Kỹ thuật điện,KNN
1832,1832,FL4051,English for Electronics and Telecommunications,Tiếng Anh điện tử viễn thông,KNN
1833,1833,"FL3014, FL3024, FL3034, FL3044",English for Information Technology,Tiếng Anh Tin học & CNTT,KNN
1834,1834,"FL3013,FL3023, FL3033, FL3043",English for Mechanical and Metallurgical Eng.,TA Cơ khí và luyện kim,KNN
1835,1835,"FL3014, FL3024, FL3034, FL3044",English for Economics and Business,Tiếng Anh Kinh tế và kinh doanh,KNN
1836,1836,"FL3014, FL3024, FL3034, FL3044",English for Environmental Science & Technology,Tiếng Anh KH Môi trường,KNN
1837,1837,FL4062,Interpreting II,Thực hành dịch nói II,KNN
1838,1838,FL4063,Interpreting III,Thực hành dịch nói III,KNN
1839,1839,FL4064,Interpreting IV,Thực hành dịch nói IV,KNN
1840,1840,FL4065,Interpreting V,Thực hành dịch nói V,KNN
1841,1841,FL4071,Translation II,Thực hành dịch viết II,KNN
1842,1842,FL4072,Translation III,Thực hành dịch viết III,KNN
1843,1843,FL4073,Translation IV,Thực hành dịch viết IV,KNN
1844,1844,FL4074,Translation V,Thực hành dịch viết V,KNN
1845,1845,"FL3013,FL3023,FL3033,FL3043",English Teaching Methodology,Phương pháp giảng dạy tiếng Anh,KNN
1846,1846,"FL4051, FL4052, FL4053, FL4054, FL4065,FL4074",Graduation Practicum,Thực tập tốt nghiệp,KNN
1847,1847,"FL4051, FL4052, FL4053, FL4054, FL4065, FL4074",Graduation Project,Khóa luận tốt nghiệp,KNN
1848,1848,"FL4051, FL4052, FL4053, FL4054, FL4065, FL4074",Advanced Issues in Linguistics,Lý thuyết tiếng tổng hợp,KNN
1849,1849,,Basis of Combustion Theory and Equipments,Cơ sở lý thuyết và thiết bị cháy,VKHVCNNL
1850,1850,HE3033,Thermal Power Plant,Nhà máy nhiệt điện,VKHVCNNL
1851,1851,,Heat Supply System,Hệ thống cung cấp nhiệt,VKHVCNNL
1852,1852,"HE3013,HE3023",Refrigeration Engineering,Kỹ thuật lạnh,VKHVCNNL
1853,1853,"HE3011, HE3013, HE3023",Boiler,Lò hơi,VKHVCNNL
1854,1854,HE4012,Project in Thermal Power Plant,Đồ án nhà máy nhiệt điện,VKHVCNNL
1855,1855,HE3023,Combustion Engineering,Kỹ thuật cháy,VKHVCNNL
1856,1856,HE4014,Project in Refrigeration Engineering,Đồ án kỹ thuật lạnh,VKHVCNNL
1857,1857,"HE3011,HE3013,HE3023",Turbine,Tua bin,VKHVCNNL
1858,1858,"HE3022, HE3032,HE4134",Thermal Process Control Systems,Hệ thống điều khiển quá trình nhiệt - lạnh,VKHVCNNL
1859,1859,"HE3011,HE3033",Mass Diffusion and Drying Engineering,Truyền chất và cơ sở kỹ thuật sấy,VKHVCNNL
1860,1860,HE4021,Project in Boiler,Đồ án lò hơi,VKHVCNNL
1861,1861,"HE4032, HE3032",Project in Measurement and Automation,Đồ án đo lường TĐH,VKHVCNNL
1862,1862,,Refrigeration & Air-conditioning System Automation,Tự động hoá kỹ thuật lạnh & ĐHKK,VKHVCNNL
1863,1863,HE4031,Project in Turbines,Đồ án tuabin,VKHVCNNL
1864,1864,"HE3023,(HE4023/HE4025)",Industrial Furnace,Lò công nghiệp,VKHVCNNL
1865,1865,,Air-conditioning,Điều hòa không khí,VKHVCNNL
1866,1866,"FL4051, FL4052, FL4053, FL4054, FL4065, FL4074, FL5210=",Advanced Translation and Interpreting,Dịch nâng cao,KNN
1867,1867,"(HE4134/HE4023/HE4011), EE2010",Energy Efficiency and Conservation,Sử dụng năng lượng tiết kiệm hiệu quả,VKHVCNNL
1868,1868,,Scientific Research,Nghiên cứu khoa học,VKHVCNNL
1869,1869,HE4054,Project in Air-conditioning,Đồ án điều hòa không khí,VKHVCNNL
1870,1870,,Electrical Furnace,Lò điện,VKHVCNNL
1871,1871,"HE3011,HE3013,HE3023","Pump, Fan, and Compressor","Bơm, quạt, máy nén",VKHVCNNL
1872,1872,"HE3033/(HE3011,HE3013,HE3023)",Nuclear Power Plant,Nhà máy điện nguyên tử,VKHVCNNL
1873,1873,HE4053,Project in Industrial Furnace,Đồ án lò công nghiệp,VKHVCNNL
1874,1874,,Waste Pollution Processing,Kỹ thuật xử lý phát thải,VKHVCNNL
1875,1875,HE4032,Control System Design,Thiết kế hệ thống điều khiển,VKHVCNNL
1876,1876,HE4033,Project in Drying Engineering,Đồ án kỹ thuật sấy,VKHVCNNL
1877,1877,,Special Topics in Refrigeration Machines and Equipments,CĐ máy & thiết bị nhiệt lạnh,VKHVCNNL
1878,1878,,English for Energy Engineering,Tiếng anh chuyên ngành kỹ thuật nhiệt -lạnh,VKHVCNNL
1879,1879,,Optimization of Thermal Power Plant Operation,Tối ưu hoá chế độ vận hành NMĐ,VKHVCNNL
1880,1880,"HE3011, HE3013, HE3023",Environmental Engineering,Kỹ thuật xử lý phát thải,VKHVCNNL
1881,1881,,Solar Energy and Secondary Energy,NL mặt trời & NL thứ cấp,VKHVCNNL
1882,1882,,Special Topics in Energy Engineering,Chuyên đề Kỹ thuật năng lượng,VKHVCNNL
1883,1883,,Thermal Network System,Mạng hệ thống nhiệt,VKHVCNNL
1884,1884,,English for the Refrigeration Machine and Equipments,Tiếng Anh CN máy & thiết bị lạnh,VKHVCNNL
1885,1885,HE4122,Design Project in Thermal Network,Đồ án thiết kế mạng nhiệt,VKHVCNNL
1886,1886,,Thermal Process Modeling,Mô hình hóa quá trình nhiệt,VKHVCNNL
1887,1887,"(HE3013,HE3023)/HE2010",Basis of Refrigeration and Air-conditioning,Kỹ thuật lạnh,VKHVCNNL
1888,1888,,Baking Furnace,Lò nung,VKHVCNNL
1889,1889,,Air-conditioning,Điều tiết không khí,VKHVCNNL
1890,1890,,Vibration and Rotor Diagnosis,Dao động và chẩn đoán máy rotor,VKHVCNNL
1891,1891,,Thermal System of Thermal Power Plants,Phần nhiệt nhà máy điện,VKHVCNNL
1892,1892,,Industrial Furnace,Lò công nghiệp,VKHVCNNL
1893,1893,,Thermal Process Engineering,Quá trình thiết bị nhiệt,VKHVCNNL
1894,1894,HE4023/HE4011/HE3033/HE3011,Renewable energy resources and technology,Cơ sở nguồn và công nghệ năng lượng,VKHVCNNL
1895,1895,,Project in Thermal Equipments and Processes,Đồ án quá trình thiết bị nhiệt,VKHVCNNL
1896,1896,,Energy Engineering,Kỹ thuật năng lượng,VKHVCNNL
1897,1897,HE4031,Transient Operation Mode of Turbine,Chế độ làm việc thay đổi của tổ hợp lò hơi – tua bin,VKHVCNNL
1898,1898,,Boiler,Nồi hơi,VKHVCNNL
1899,1899,,Graduation Practicum,Thực tập tốt nghiệp,VKHVCNNL
1900,1900,,Graduation Practicum,Thực tập tốt nghiệp,VKHVCNNL
1901,1901,,Graduation Project,Đồ án tốt nghiệp,VKHVCNNL
1902,1902,,Graduation Project,Đồ án tốt nghiệp,VKHVCNNL
1903,1903,,Production Management in Textile Enterprises,Quản lý sản xuất dệt may,KCNDMVTT
1904,1904,,Quality Management in Textile and Garment Industry,Quản lý chất lượng dệt may,KCNDMVTT
1905,1905,,Textile Marketing,Marketing dệt may,KCNDMVTT
1906,1906,,Preparation for Weaving,Chuẩn bị dệt,KCNDMVTT
1907,1907,,Spinning Technology 1,Công nghệ kéo sợi xơ ngắn,KCNDMVTT
1908,1908,,History of Costume,Lịch sử trang phục,KCNDMVTT
1909,1909,CH3225,Chemistry of Dyestuff,Hóa học thuốc nhuộm,KCNDMVTT
1910,1910,,Knitting Technology I,Công nghệ dệt kim I,KCNDMVTT
1911,1911,,Industrial Garment Equipments,Thiết bị may công nghiệp,KCNDMVTT
1912,1912,,Chemical Auxiliaries for Textile Industry,Chất trợ hóa học,KCNDMVTT
1913,1913,,Weaving Technology,Kỹ thuật dệt thoi,KCNDMVTT
1914,1914,,Technology of Clothing Manufacturing,Công nghệ sản xuất sản phẩm may,KCNDMVTT
1915,1915,,Pretreatment Technology,Công nghệ tiền xử lý sản phẩm dệt,KCNDMVTT
1916,1916,TEX4031,Knitting Technology II,Công nghệ dệt kim II,KCNDMVTT
1917,1917,TEX4073,Dyeing and Finishing Equipment,Thiết bị in - nhuộm - hoàn tất,KCNDMVTT
1918,1918,,Spinning Technology 2,Công nghệ kéo sợi 2,KCNDMVTT
1919,1919,TEX4042,Clothing Technology 2,Công nghệ may 2,KCNDMVTT
1920,1920,TEX4053,Industrial Safety and Environment,An toàn công nghiệp và môi trường,KCNDMVTT
1921,1921,,Nonwoven Technology,Công nghệ không dệt,KCNDMVTT
1922,1922,TEX3012/TEX4052,Sewing Practice 2,Thực hành may 2,KCNDMVTT
1923,1923,,Dyeing Technology,Công nghệ nhuộm,KCNDMVTT
1924,1924,TEX4041,Design of Woven Fabrics,Cấu tạo và thiết kế vải dệt thoi,KCNDMVTT
1925,1925,TEX4072,Sewing Practice 3,Thực hành may 3,KCNDMVTT
1926,1926,TEX4023,Printing Technology,Công nghệ in hoa sản phẩm dệt,KCNDMVTT
1927,1927,,Shuttleless Weaving,Kỹ thuật dệt không thoi,KCNDMVTT
1928,1928,TEX4012,Basis of Clothing Construction,Cơ sở thiết kế trang phục,KCNDMVTT
1929,1929,,Colormatching Theory,Lý thuyết và kỹ thuật đo màu,KCNDMVTT
1930,1930,TEX4021,Structure of Yarns,Cấu trúc sợi,KCNDMVTT
1931,1931,TEX4092,Clothing Construction 1,Thiết kế trang phục 1,KCNDMVTT
1932,1932,,Aftertreatment Technology,Công nghệ hoàn tất sản phẩm dệt,KCNDMVTT
1933,1933,,Textile Measurements,Đo lường dệt,KCNDMVTT
1934,1934,TEX4102,Clothing Construction 2,Thiết kế trang phục 2,KCNDMVTT
1935,1935,TEX4051,Structure of Knitted Fabrics,Cấu trúc vải dệt kim,KCNDMVTT
1936,1936,TEX4112,Project in Clothing Construction,Đồ án thiết kế trang phục,KCNDMVTT
1937,1937,,Applied Informatics in Textile Dyeing and Finishing,Tin học ứng dụng trong in-nhuộm-hoàn tất,KCNDMVTT
1938,1938,,Applied Informatics in Textile Industry,Tin học ứng dụng trong công nghệ dệt,KCNDMVTT
1939,1939,,Organization & Labor Norm in Garment Industry,Tổ chức & định mức lao động c.nghiệp may,KCNDMVTT
1940,1940,"TEX4061, TEX4041, TEX4051",Design of Textile Process,Thiết kế dây chuyền công nghệ dệt,KCNDMVTT
1941,1941,,Design of Sewing Line,Thiết kế dây chuyền may,KCNDMVTT
1942,1942,TEX4141=,Design Project of Textile Process,Đồ án thiết kế dây chuyền công nghệ dệt,KCNDMVTT
1943,1943,,Design Project in Sewing Line,Đồ án thiết kế dây chuyền may,KCNDMVTT
1944,1944,,Special Topics,Chuyên đề,KCNDMVTT
1945,1945,,Special Topics,Chuyên đề,KCNDMVTT
1946,1946,,Fashion Drawing,Hình họa thời trang,KCNDMVTT
1947,1947,,Materials for Garment Products,Vật liệu may,KCNDMVTT
1948,1948,"TEX4061, TEX4041, TEX4051",Textile Machines,Cơ cấu máy dệt,KCNDMVTT
1949,1949,TEX4162=,Basis of Costume Art,Mỹ thuật trang phục,KCNDMVTT
1950,1950,,Textile Materials,Vật liệu dệt,KCNDMVTT
1951,1951,TEX4163,Structure of Woven Fabrics,Cấu trúc vải dệt thoi,KCNDMVTT
1952,1952,"TEX4162, TEX4172",Fashion Design,Tạo mẫu trang phục,KCNDMVTT
1953,1953,,Basis of Chemical Treatment for Textile Materials,Đại cương xử lý hóa học sản phẩm dệt,KCNDMVTT
1954,1954,TEX4163,Basis of Textile Technology,Công nghệ sợi dệt đại cương,KCNDMVTT
1955,1955,TEX4182,Project in Fashion Design,Đồ án tạo mẫu trang phục,KCNDMVTT
1956,1956,,Chemical Treatment for Garment Products,Xử lý hóa học vật liệu & sản phẩm may,KCNDMVTT
1957,1957,TEX4173,Basis of Yarn Forming Technology,Công nghệ sợi đại cương,KCNDMVTT
1958,1958,,Applied Informatics in Garment Industry,Tin học ứng dụng ngành may,KCNDMVTT
1959,1959,,Leather and Fur Materials,Vật liệu da và lông thú,KCNDMVTT
1960,1960,TEX4173,Weaving Theory,Công nghệ và cấu trúc vải dệt thoi,KCNDMVTT
1961,1961,,Special Topics,Chuyên đề,KCNDMVTT
1962,1962,,Engineering Practicum,Thực tập kỹ thuật,KCNDMVTT
1963,1963,TEX4173,Knitting Theory,Công nghệ và cấu trúc vải dệt kim,KCNDMVTT
1964,1964,,Overview of Garment Industry,Đại cương công nghệ may,KCNDMVTT
1965,1965,,Engineering Practicum,Thực tập kỹ thuật,KCNDMVTT
1966,1966,TEX4163,Clothing Hygiene,Vệ sinh trang phục,KCNDMVTT
1967,1967,,Engineering Practicum,Thực tập kỹ thuật,KCNDMVTT
1968,1968,,Graduation Practicum,Thực tập tốt nghiệp,KCNDMVTT
1969,1969,,Graduation Practicum,Thực tập tốt nghiệp,KCNDMVTT
1970,1970,,Graduation Practicum,Thực tập tốt nghiệp,KCNDMVTT
1971,1971,,Graduation Project,Đồ án tốt nghiệp,KCNDMVTT
1972,1972,,Graduation Project,Đồ án tốt nghiệp,KCNDMVTT
1973,1973,TEX5013=,Graduation Project,Đồ án tốt nghiệp,KCNDMVTT
1974,1974,BF3010,Food Biochemistry,Hóa sinh thực phẩm,VCNSHVTP
1975,1975,,Food Microbiology,Vi sinh thực phẩm,VCNSHVTP
1976,1976,,General environment Technology,Công nghệ môi trường đại cương,VCNSHVTP
1977,1977,,General Food Engineering,Kỹ thuật thực phẩm đại cương,VCNSHVTP
1978,1978,,Mechanical Process and Equipment,Quá trình và thiết bị cơ học,VCNSHVTP
1979,1979,HE2010,Heat transfer Process and Equipment,Quá trình và thiết bị nhiệt,VCNSHVTP
1980,1980,,Mass Transfer Process and Equipment,Quá trình và thiết bị chuyển khối,VCNSHVTP
1981,1981,BF3070,Biological Process Engineering,Quá trình và thiết bị sinh học,VCNSHVTP
1982,1982,MI2020,Quality Management in Food Technology,Quản lý chất lượng trong CNTP,VCNSHVTP
1983,1983,"BF3010,BF3020,BF3030, BF3040",Food Additives,Phụ gia thực phẩm,VCNSHVTP
1984,1984,,Food Packaging,Bao bì thực phẩm,VCNSHVTP
1985,1985,,Nutrition and Food Safety,Dinh dưỡng an toàn thực phẩm,VCNSHVTP
1986,1986,MI2020,Food Sensory Analysis,Phân tích cảm quan thực phẩm,VCNSHVTP
1987,1987,"CH3002,CH3304,BF3010,BF3020",Food Analysis,Phân tích cơ lý hóa thực phẩm,VCNSHVTP
1988,1988,"BF3010,BF3020,BF3030,BF3040,CH3304,CH3002",Food Microbial Analysis,Phân tích vi sinh vật thực phẩm,VCNSHVTP
1989,1989,,English for Food technology I,Ngoại ngữ chuyên ngành I,VCNSHVTP
1990,1990,,English for Food technology II,Ngoại ngữ chuyên ngành II,VCNSHVTP
1991,1991,,Fundamentals of Plant Design,Cơ sở lập dự án thiết kế NMTP-SH,VCNSHVTP
1992,1992,"BF3070,BF3080,BF3090",Introductory Practicum,Thực tập nhận thức,VCNSHVTP
1993,1993,BF3350,Industrial Biochemistry,Hóa sinh công nghiệp,VCNSHVTP
1994,1994,,Cellular Biology,Sinh học tế bào,VCNSHVTP
1995,1995,BF3360,Applied Microbiology,Vi sinh vật học ứng dụng,VCNSHVTP
1996,1996,,English for Biotechnology,Ngoại ngữ chuyên ngành,VCNSHVTP
1997,1997,,Molecular Biology,Sinh học phân tử,VCNSHVTP
1998,1998,"BF3370,BF3380,BF3410",Genetics,Di truyền học,VCNSHVTP
1999,1999,,Process Optimization in Biotechnology,Tối ưu hóa các QT trong CNSH,VCNSHVTP
2000,2000,"BF3370,BF3390,CH3411",Introductory Practicum,Thực tập nhận thức,VCNSHVTP
2001,2001,,Procces Engineering and Equipment 3,Quá trình và thiết bị 3,VCNSHVTP
2002,2002,BF3350,Immunological Biochemistry,Sinh hóa miễn dịch,VCNSHVTP
2003,2003,BF3420,Biosafety,An toàn sinh học,VCNSHVTP
2004,2004,BF3480,Engineering Practicum,Thực tập kỹ thuật,VCNSHVTP
2005,2005,,Safety and Environmental Engineering,Kỹ thuật an toàn và môi trường,VCNSHVTP
2006,2006,,Process Control,Kỹ thuật điều khiển tự động,VCNSHVTP
2007,2007,,Engineering Practicum,Thực tập kỹ thuật,VCNSHVTP
2008,2008,BF4010,Project in Food Engineering,Đồ án chuyên ngành,VCNSHVTP
2009,2009,,Vegetable and Essential Oil Technology,CN dầu béo- chất thơm,VCNSHVTP
2010,2010,,Sugar Technology,CN Đường,VCNSHVTP
2011,2011,,Bakery and Confectionery Technology,CN bánh kẹo,VCNSHVTP
2012,2012,,Tea and Coffee Technology,CN chè Cà phê,VCNSHVTP
2013,2013,,Tobacco Technology,CN thuốc lá,VCNSHVTP
2014,2014,,Food Refrigeration Engineering,Kỹ thuật lạnh thực phẩm,VCNSHVTP
2015,2015,,Dairy Product Technology,Công nghệ các sản phẩm sữa,VCNSHVTP
2016,2016,,Air conditioning and ventilating,Thông gió hút bụi và điều hòa không khí,VCNSHVTP
2017,2017,,Seafood Processing and Preservation,Kỹ thuật bảo quản và chế biến hải sản,VCNSHVTP
2018,2018,,Fruit and Vegetable Preservation and Processing,Công nghệ bảo quản và chế biến rau quả,VCNSHVTP
2019,2019,,Cereal Processing,Công nghệ chế biến lương thực,VCNSHVTP
2020,2020,,Post-harvest Technology,Công nghệ bảo quản lương thực,VCNSHVTP
2021,2021,,Enzyme Technology,CN Enzym,VCNSHVTP
2022,2022,,Wine Technology,CN rượu vang,VCNSHVTP
2023,2023,,Ethanol Technology,CN Cồn etylic,VCNSHVTP
2024,2024,,Yeast Technology,Công nghệ nấm men,VCNSHVTP
2025,2025,,Malt and Beer Technology,CN Malt và Bia,VCNSHVTP
2026,2026,BF3050/BF3010,Applied Informatics in Food Technology,Tin học ứng dụng trong CNTP,VCNSHVTP
2027,2027,,Food Laws,Luật thực phẩm,VCNSHVTP
2028,2028,,Applied Microbiology in Food Technology,Ứng dụng vi sinh vật trong CN thực phẩm,VCNSHVTP
2029,2029,EM3201,ISO/HACCP Food Quality Management Systems,Hệ thống chất lượng TP ISO/HACCP,VCNSHVTP
2030,2030,BF3410,Enzyme Technology,CN Enzym,VCNSHVTP
2031,2031,,Bioinformatics,Tin sinh học,VCNSHVTP
2032,2032,"BF3420,BF3360",Microbial Genetic Engineering,Kỹ thuật gen vi sinh vật,VCNSHVTP
2033,2033,,Industrial Fermentation Technology,Công nghệ lên men công nghiệp,VCNSHVTP
2034,2034,,Quality Management in Biotechnology,Quản lý chất lượng trong CN sinh học,VCNSHVTP
2035,2035,,Environmental Biotechnology,CN sinh học môi trường,VCNSHVTP
2036,2036,,Project in Biological Engineering,Đồ án chuyên ngành,VCNSHVTP
2037,2037,"BF3380,BF3410,BF3420",Plant Biotechnology,CN sinh học thực vật,VCNSHVTP
2038,2038,,Protein Technology,CN protein,VCNSHVTP
2039,2039,BF3610,Technology for Organic Acids and Solvent,CN sản xuất các axit và dung môi hữu cơ,VCNSHVTP
2040,2040,,Antibiotics Technology,CN lên men các hợp chất kháng sinh,VCNSHVTP
2041,2041,,Amino acid Technology,CN axit amin,VCNSHVTP
2042,2042,"BF3410,BF3420",Animal cell culture,Công nghệ tế bào động vật,VCNSHVTP
2043,2043,BF3490,Vaccine Technology,CN vacxin,VCNSHVTP
2044,2044,"CH3401,CH3411,BF3350, BF3360",Technology of Byproducts for Plant Protection,CN chế phẩm sinh học bảo vệ thực vật,VCNSHVTP
2045,2045,,Technology of Biofertilizers,CN phân bón vi sinh,VCNSHVTP
2046,2046,,Waste Water Biotreatment,Kỹ thuật sinh học xử lý nước thải,VCNSHVTP
2047,2047,,Toxicology,Độc tố học,VCNSHVTP
2048,2048,,Treatment of Solid Waste,Kỹ thuật sinh học xử lý chất thải rắn,VCNSHVTP
2049,2049,,General Food Engineering,Công nghệ thực phẩm đại cương,VCNSHVTP
2050,2050,,Transport Machinery,Máy vận chuyển,VCNSHVTP
2051,2051,"HE2010,ME3040,ME3050",Mass-transfer and Heat-transfer Equipments,Thiết bị truyền nhiệt chuyển khối,VCNSHVTP
2052,2052,"HE2010,BF4720,BF4740, (BF4810/BF4811)",Food Drying Engineering,Kỹ thuật sấy nông sản thực phẩm,VCNSHVTP
2053,2053,"HE2010, BF4720, BF4740",Refrigeration and air Conditioning,Máy lạnh và điều hòa không khí,VCNSHVTP
2054,2054,,Fundamentals of Process and Equipment Design,Cơ sở tính toán máy và thiết bị,VCNSHVTP
2055,2055,"IT1010,BF3710",Fundamentals of Automatic Machine Design,Cơ sở thiết kế máy tự động,VCNSHVTP
2056,2056,"BF3710,BF4740",Process control,Điều khiển các quá trình công nghệ,VCNSHVTP
2057,2057,,General Biotechnology,Công nghệ sinh học đại cương,VCNSHVTP
2058,2058,"ME3040,ME3050,ME3060, ME3080,ME3090","Pump, Fan, and Compressor",Bơm quạt máy nén,VCNSHVTP
2059,2059,"BF3710,BF4780,BF4790",Advanced Experiments and Seminar,Thí nghiệm chuyên đề và chuyên ngành,VCNSHVTP
2060,2060,,Shape Rolling Technology,Công nghệ cán hình,KKHVCNVL
2061,2061,FL3108,English for Food Processing Technology,Ngoại ngữ chuyên ngành,VCNSHVTP
2062,2062,BF4780,Hydraulic-Pneumatic Automation System and Elements,Các phần tử và hệ thống tự động thủy khí,VCNSHVTP
2063,2063,"BF3710,BF4820",Process Automation and Industrial Networks,Mạng điều khiển quá trình công nghệ,VCNSHVTP
2064,2064,,Quantification and Packaging Machines,Máy định lượng và bao gói sản phẩm,VCNSHVTP
2065,2065,EE2010,Industrial Electrical Equipments,Trang thiết bị điện công nghiệp,VCNSHVTP
2066,2066,,Stirring Devices and Machines,Máy & thiết bị khuấy trộn,VCNSHVTP
2067,2067,,"Pealing, Cleaning and Sorting Equipments","Máy bóc vỏ, làm sạch và phân loại",VCNSHVTP
2068,2068,"ME3080,BF4720,BF4830",Partial Machines and Equipments,Máy và thiết bị phân riêng,VCNSHVTP
2069,2069,,Project in Processing Machines,Đồ án môn học máy chế biến,VCNSHVTP
2070,2070,"HE2010,BF4740,BF4760",Project in Heat and Refrigeration Equipments,Đồ án môn học thiết bị nhiệt lạnh,VCNSHVTP
2071,2071,,Introductory Practicum,Thực tập nhận thức,VCNSHVTP
2072,2072,,Engineering Practicum,Thực tập kỹ thuật,VCNSHVTP
2073,2073,"BF4010,BF4020",Graduation Practicum,Thực tập tốt nghiệp,VCNSHVTP
2074,2074,BF3560,Graduation Practicum,Thực tập tốt nghiệp,VCNSHVTP
2075,2075,,Graduation Practicum,Thực tập tốt nghiệp,VCNSHVTP
2076,2076,,Graduation Project,Đồ án tốt nghiệp,VCNSHVTP
2077,2077,,Graduation Project,Đồ án tốt nghiệp,VCNSHVTP
2078,2078,,Graduation Project,Đồ án tốt nghiệp,VCNSHVTP
2079,2079,MSE3010!,Materials Science II,Vật liệu học II,KKHVCNVL
2080,2080,MSE2023,Methods for Materials Research,Các phương pháp kiểm tra và đánh giá vật liệu,KKHVCNVL
2081,2081,CH3004,Thermodynamics and Kinetics of Reactions,Nhiệt động học & động học các phản ứng,KKHVCNVL
2082,2082,,Mechanics of materials,Cơ học vật liệu,KKHVCNVL
2083,2083,"MSE3010, MSE3030",Corrosion and Protection of Materials,Ăn mòn và bảo vệ vật liệu,KKHVCNVL
2084,2084,MSE3010,Materials Processing,Công nghệ vật liệu,KKHVCNVL
2085,2085,,Mineralogy and Mineral Enrichment,Khoáng vật học và tuyển khoáng,KKHVCNVL
2086,2086,MSE3040,Diffusion and Phase Transformation,Khuếch tán và chuyển pha,KKHVCNVL
2087,2087,MSE3010,Theory of Strength,Lý thuyết độ bền,KKHVCNVL
2088,2088,,Theory of Metallurgical Processes,Lý thuyết các quá trình luyện kim,KKHVCNVL
2089,2089,"MSE3010, MSE3040",Theory of Crystallization and Solidification,Lý thuyết quá trình kết tinh và đông đặc,KKHVCNVL
2090,2090,MSE3010,Theory of Plastic Deformation,Lý thuyết biến dạng dẻo,KKHVCNVL
2091,2091,MSE3010!,Theory of Heat Treatment,Lý thuyết quá trình nhiệt luyện,KKHVCNVL
2092,2092,,Numerical Methods I,Các phương pháp số I,KKHVCNVL
2093,2093,,Ceramic materials,Vật liệu Ceramic,KKHVCNVL
2094,2094,,Numerical Methods II,Các phương pháp số II,KKHVCNVL
2095,2095,,Metallic Materials,Vật liệu kim loại,KKHVCNVL
2096,2096,,General Materials Science,Vật liệu học đại cương,KKHVCNVL
2097,2097,MSE3140,Raw Materials and Fuel Base,"Nguyên, nhiên liệu luyện kim",KKHVCNVL
2098,2098,MSE4010,Iron Making,Công nghệ luyện gang,KKHVCNVL
2099,2099,MSE4010,Steel Making,Công nghệ luyện thép,KKHVCNVL
2100,2100,"MSE4020, MSE4030",Project in Iron and Steel Technology,Đồ án môn học công nghệ gang thép,KKHVCNVL
2101,2101,MSE4010,Ferroalloy Making,Công nghệ luyện fero,KKHVCNVL
2102,2102,,Production of Steel and Pig Iron Castings,Công nghệ đúc phôi thép,KKHVCNVL
2103,2103,"MSE4020, MSE4030",New Technologies in Iron- and Steelmaking,Kỹ thuật mới trong công nghệ gang thép,KKHVCNVL
2104,2104,MSE4030,Alloys and Special Steel Metallurgy,Luyện thép hợp kim và thép đặc biệt,KKHVCNVL
2105,2105,MSE4010,Oxygen steelmaking,Kỹ thuật luyện thép lò thổi,KKHVCNVL
2106,2106,MSE4010,Electric-Furnace steelmaking,Kỹ thuật luyện thép lò điện,KKHVCNVL
2107,2107,MSE4010,Metal Recycling,Kỹ thuật tái chế kim loại,KKHVCNVL
2108,2108,"MSE4020, MSE4030",Information Technology in Metallurgy,Tin học chuyên ngành gang thép,KKHVCNVL
2109,2109,,Engineering Practicum,Thực tập kỹ thuật,KKHVCNVL
2110,2110,,Powder Metallurgy,Công nghệ vật liệu bột,KKHVCNVL
2111,2111,,Ultra-clean Materials Technology,Công nghệ vật liệu siêu sạch,KKHVCNVL
2112,2112,,Composite Materials Technology,Công nghệ vật liệu compozit,KKHVCNVL
2113,2113,,Technology of Rare-earth Materials,Công nghệ vật liệu quý hiếm,KKHVCNVL
2114,2114,,Ultra Fine Powder Metallurgy,Công nghệ vật liệu bột mịn và siêu mịn,KKHVCNVL
2115,2115,,Aluminum Electrosynthesis,Điện phân nhôm,KKHVCNVL
2116,2116,,Semiconductors Materials Technology,Công nghệ vật liệu bán dẫn,KKHVCNVL
2117,2117,,Ceramic Materials Technology,Công nghệ vật liệu ceramic,KKHVCNVL
