,Unnamed: 0_x,id,Mã học phần,Tên học phần,Thời lượng,Số tín chỉ,TC học phí,Trọng số,Unnamed: 0_y,Học phần điều kiện,Tên tiếng anh,Tên viết tắt,Viện Quản lý
1392,1392,1392,MI4103,Mô phỏng ngẫu nhiên và ứng dụng,3(3-1-0-6),3.0,4,0.7,1392,MI3033,Stochastic Simulation and Its Applications,Mô phỏng ngẫu nhiên và ứng dụng,KTTD
1393,1393,1393,MI4110,Mô phỏng ngẫu nhiên và ứng dụng,3(3-1-0-6),3.0,4,0.7,1393,,Stochastic Simulation and Its Applications,Mô phỏng ngẫu nhiên và ứng dụng,KTTD
1394,1394,1394,MI4111,Tính toán song song,2(2-1-0-4),2.0,3,0.7,1394,,Parallel Computing,Tính toán song song,KTTD
1395,1395,1395,MI4113,Phương pháp phần tử hữu hạn,2(2-1-0-4),2.0,3,0.5,1395,"MI3043, MI3073",Finite Element Method,Phương pháp phần tử hữu hạn,KTTD
1396,1396,1396,MI4120,Thực tập chuyên ngành,2(0-0-4-4),2.0,4,0.7,1396,,Advanced Practicum,Thực tập chuyên ngành,KTTD
1397,1397,1397,MI4121,Giải gần đúng các phương trình toán tử,2(2-1-0-4),2.0,3,0.7,1397,,Approximate Solution of Operator Equations,Giải gần đúng các phương trình toán tử,KTTD
1398,1398,1398,MI4112,An toàn máy tính,2(2-1-0-4),2.0,3,0.7,1398,,Computer Security,An toàn máy tính,KTTD
1399,1399,1399,MI4123,Thực tập chuyên ngành,2(0-0-4-4),2.0,4,0.7,1399,,Advanced Practicum,Thực tập chuyên ngành,KTTD
1400,1400,1400,MI4130,Đồ án môn học chuyên ngành,1(0-1-0-4),1.0,2,0.5,1400,,Senior Project,Đồ án môn học chuyên ngành,KTTD
1401,1401,1401,MI4140,Cơ sở dữ liệu nâng cao,3(3-1-0-6),3.0,4,0.7,1401,MI3090,Advanced Database,Cơ sở dữ liệu nâng cao,KTTD
1402,1402,1402,MI4150,Lý thuyết nhận dạng,3(3-1-0-6),3.0,4,0.7,1402,"MI3030/(MI3350, MI3360)",Theory of Pattern Recognition,Lý thuyết nhận dạng,KTTD
1403,1403,1403,MI4160,Lập trình tính toán,3(2-2-0-6),3.0,4,0.7,1403,MI3040,Computation Programming,Lập trình tính toán,KTTD
1404,1404,1404,MI4170,Các mô hình ngẫu nhiên và ứng dụng,2(2-1-0-6),2.0,3,0.7,1404,MI3030,Stochastic Models and Applications,Các mô hình ngẫu nhiên và ứng dụng,KTTD
1405,1405,1405,MI4180,Các phép biến đổi số và ứng dụng,3(3-1-0-6),3.0,4,0.7,1405,,Digital Methods and Applications,Các phép biến đổi số và ứng dụng,KTTD
1406,1406,1406,MI4190,Logic thuật toán,3(3-1-0-6),3.0,4,0.7,1406,,Mathematical Logic and Algorithms,Logic thuật toán,KTTD
1407,1407,1407,MI4200,Khai phá dữ liệu,3(3-1-0-6),3.0,4,0.7,1407,,Data Mining,Khai phá dữ liệu,KTTD
1408,1408,1408,MI4210,Hệ hỗ trợ quyết định,3(3-1-0-6),3.0,4,0.7,1408,,Decision Support System,Hệ hỗ trợ quyết định,KTTD
1409,1409,1409,MI4220,Cơ sở trí tuệ nhân tạo và hệ chuyên gia,3(3-1-0-6),3.0,4,0.7,1409,,Fundamentals of Artificial Intelligence and Expert Systems,Cơ sở trí tuệ nhân tạo và hệ chuyên gia,KTTD
1410,1410,1410,MI4230,Điều khiển tối ưu,2(2-1-0-4),2.0,3,0.7,1410,,Optimal Control,Điều khiển tối ưu,KTTD
1411,1411,1411,MI4250,Đồ họa máy tính,2(2-1-0-4),2.0,3,0.7,1411,,Computer Graphics,Đồ họa máy tính,KTTD
1412,1412,1412,MI5010,Thực tập tốt nghiệp,4(0-0-8-16),4.0,10,0.5,1412,MI4130,Graduation Practicum,Thực tập tốt nghiệp,KTTD
1413,1413,1413,MI5013,Thực tập tốt nghiệp,4(0-0-8-16),4.0,10,0.5,1413,,Graduation Practicum,Thực tập tốt nghiệp,KTTD
1414,1414,1414,MI5110,Đồ án tốt nghiệp,10(0-0-20-40),10.0,25,0.5,1414,,Graduation Project,Đồ án tốt nghiệp,KTTD
1415,1415,1415,MI5113,Đồ án tốt nghiệp,10(0-0-20-40),10.0,25,0.5,1415,,Graduation Project,Đồ án tốt nghiệp,KTTD
1416,1416,1416,PH1036,Vật lý đại cương III,4(2-2-1-8),4.0,5.5,0.6,1416,,Physics III,Vật lý đại cương III,VVLKT
1417,1417,1417,PH3302,Kỹ thuật phân tích cấu trúc II,2(2-1-0.5-4),2.0,4,0.7,1417,PH3301,Structure Analysis II,Kỹ thuật phân tích cấu trúc II,VVLKT
1418,1418,1418,PH4010,Vật liệu bán dẫn,2(2-0-0-4),2.0,2,0.7,1418,,Semiconductor Materials,Vật liệu bán dẫn,VVLKT
1419,1419,1419,PH4020,Kỹ thuật phân tích phổ,3(2-1-1-6),3.0,4.5,0.7,1419,,Spectroscopic Analysis,Kỹ thuật phân tích phổ,VVLKT
1420,1420,1420,PH4030,Thực tập kỹ thuật,3(0-0-6-12),3.0,6,1.0,1420,,Engineering Practicum,Thực tập kỹ thuật,VVLKT
1421,1421,1421,PH4040,Vật lý và kỹ thuật màng mỏng,3(2-1-1-6),3.0,4.5,0.7,1421,,Physics and Technology of Thin Film,Vật lý và kỹ thuật màng mỏng,VVLKT
1422,1422,1422,PH4050,Laser,2(2-1-0.5-4),2.0,4,0.7,1422,PH3200,Laser,Laser,VVLKT
1423,1423,1423,PH4060,Công nghệ vật liệu,2(2-0-0-4),2.0,2,0.7,1423,,Materials Technology,Công nghệ vật liệu,VVLKT
1424,1424,1424,PH4070,Công nghệ vi điện tử,3(3-0-0-6),3.0,3,0.7,1424,,Microelectronic Technology,Công nghệ vi điện tử,VVLKT
1425,1425,1425,PH4080,Từ học và vật liệu từ,3(2-1-1-6),3.0,4.5,0.7,1425,,Magnetism and Magnetic Materials,Từ học và vật liệu từ,VVLKT
1426,1426,1426,PH4090,Các cấu trúc nano,2(1-1-1-4),2.0,3.5,0.7,1426,,Nanostructures,Các cấu trúc nano,VVLKT
1427,1427,1427,PH4100,Công nghệ và linh kiện MEMS,3(2-1-1-6),3.0,4.5,0.7,1427,,Microelectromechanical Systems (MEMS),Công nghệ và linh kiện MEMS,VVLKT
1428,1428,1428,PH4110,Hóa lý chất rắn,2(2-0-0-4),2.0,2,0.7,1428,,Physical Chemistry of Solids,Hóa lý chất rắn,VVLKT
1429,1429,1429,PH4120,Mô phỏng linh kiện và quá trình bán dẫn,2(2-0-0-4),2.0,2,0.7,1429,,Semiconductor Devices & Process Simulation,Mô phỏng linh kiện và quá trình bán dẫn,VVLKT
1430,1430,1430,PH4130,Vật liệu polyme,2(1-1-1-4),2.0,3.5,0.7,1430,CH1010/CH1017,Polymer Materials,Vật liệu polyme,VVLKT
1431,1431,1431,PH4200,Cơ sở vật lý môi trường,2(2-1-0.5-4),2.0,4,0.7,1431,PH3130,Introduction to Environmental Physics,Cơ sở vật lý môi trường,VVLKT
1432,1432,1432,PH4211,Phương pháp thực nghiệm hạt nhân I,2(2-0-1.5-4),2.0,4,0.7,1432,PH3130,Experimental Methods of Nuclear Physics I,Phương pháp thực nghiệm hạt nhân I,VVLKT
1433,1433,1433,PH4212,Phương pháp thực nghiệm hạt nhân II,2(2-0-1.5-4),2.0,4,0.7,1433,PH3130,Experimental Methods of Nuclear Physics II,Phương pháp thực nghiệm hạt nhân II,VVLKT
1434,1434,1434,PH4221,Điện tử hạt nhân I,2(2-0-1.5-4),2.0,4,0.7,1434,PH3040,Nuclear Electronics I,Điện tử hạt nhân I,VVLKT
1435,1435,1435,PH4222,Điện tử hạt nhân II,2(2-0-1.5-4),2.0,4,0.7,1435,PH4221,Nuclear Electronics II,Điện tử hạt nhân II,VVLKT
1436,1436,1436,PH4230,Thực tập kỹ thuật,3(0-0-6-12),3.0,6,0.5,1436,PH3130,Engineering Practicum,Thực tập kỹ thuật,VVLKT
1437,1437,1437,PH4240,Vật lý nơtrôn,2(2-1-0.5-4),2.0,4,0.7,1437,PH3130,Neutron Physics,Vật lý nơtrôn,VVLKT
1438,1438,1438,PH4251,Kỹ thuật vật lý môi trường I,2(2-0-1.5-4),2.0,4,0.7,1438,PH4200,Environmental Physical Engineering I,Kỹ thuật vật lý môi trường I,VVLKT
1439,1439,1439,PH4252,Kỹ thuật vật lý môi trường II,2(2-1-0.5-4),2.0,4,0.7,1439,"PH3130, PH4200",Environmental Physical Engineering II,Kỹ thuật vật lý môi trường II,VVLKT
1440,1440,1440,PH4260,Lò phản ứng và nhà máy điện hạt nhân,2(2-1-0-4),2.0,3,0.7,1440,PH3130,Introduction to Nuclear Reactor & Nuclear Power Plant,Lò phản ứng và nhà máy điện hạt nhân,VVLKT
1441,1441,1441,PH4270,Bảo vệ an toàn bức xạ,2(2-1-0.5-4),2.0,4,0.7,1441,PH3130,Radiation protection,Bảo vệ an toàn bức xạ,VVLKT
1442,1442,1442,PH4280,Kỹ thuật máy gia tốc và ứng dụng,2(2-1-0.5-4),2.0,4,0.7,1442,PH3130,Accelerator and Applications,Kỹ thuật máy gia tốc và ứng dụng,VVLKT
1443,1443,1443,PH4290,Xác định liều lượng bức xạ,2(2-1-0.5-4),2.0,4,0.7,1443,PH3130,Dosimetry,Xác định liều lượng bức xạ,VVLKT
1444,1444,1444,PH4300,Kiểm tra không phá mẫu,2(2-1-0.5-4),2.0,4,0.7,1444,PH3130,Non-destructive Testing,Kiểm tra không phá mẫu,VVLKT
1445,1445,1445,PH4410,Tin học vật lý nâng cao,3(2-1-1-6),3.0,4.5,0.7,1445,,Advanced Computational Physics,Tin học vật lý nâng cao,VVLKT
1446,1446,1446,PH4430,Chuyên đề vật lý kỹ thuật,3(3-0-2-4),3.0,6,0.7,1446,,Special Topics in Engineering Physics,Chuyên đề vật lý kỹ thuật,VVLKT
1447,1447,1447,PH4440,Phương pháp Monte-Carlo,2(1-1-1-4),2.0,3.5,0.7,1447,,Monte-Carlo Method,Phương pháp Monte-Carlo,VVLKT
1448,1448,1448,PH4450,Thiết kế mạch điện tử,3(2-1-1-6),3.0,4.5,0.7,1448,,Electronic Circuits Design,Thiết kế mạch điện tử,VVLKT
1449,1449,1449,PH4460,Mô phỏng trong vật lý,2(1-1-1-4),2.0,3.5,0.7,1449,,Modeling in Physics,Mô phỏng trong vật lý,VVLKT
1450,1450,1450,PH4470,Thực tập kỹ thuật,3(0-0-6-12),3.0,6,0.5,1450,,Engineering Practicum,Thực tập kỹ thuật,VVLKT
1451,1451,1451,PH4480,Vi điều khiển,2(2-0-1-4),2.0,3.5,0.7,1451,ET2010,Microcontrollers,Vi điều khiển,VVLKT
1452,1452,1452,PH4500,Phương pháp nguyên lý ban đầu,3(2-1-1-6),3.0,4.5,0.7,1452,,First-Principle Method,Phương pháp nguyên lý ban đầu,VVLKT
1453,1453,1453,PH4520,Chuyên đề khoa học vật liệu,3(3-0-2-4),3.0,6,0.7,1453,,Special Topics in Material Science,Chuyên đề khoa học vật liệu,VVLKT
1454,1454,1454,PH4530,CAD and CAM,3(3-0-2-6),3.0,6,0.7,1454,,CAD and CAM,CAD and CAM,VVLKT
1455,1455,1455,PH4601,Cơ sở kỹ thuật ánh sáng I,2(2-1-0.5-4),2.0,4,0.7,1455,PH3210,Fundamentals of Light Engineering I,Cơ sở kỹ thuật ánh sáng I,VVLKT
1456,1456,1456,PH4602,Cơ sở kỹ thuật ánh sáng II,2(2-1-0.5-4),2.0,4,0.7,1456,PH4601,Fundamentals of Light Engineering II,Cơ sở kỹ thuật ánh sáng II,VVLKT
1457,1457,1457,PH4620,Thực tập kỹ thuật,3(0-0-6-12),3.0,6,0.5,1457,,Engineering Practicum,Thực tập kỹ thuật,VVLKT
1458,1458,1458,PH4630,Dụng cụ quang,2(2-0-0-4),2.0,2,0.7,1458,PH3090,Optical Equipments,Dụng cụ quang,VVLKT
1459,1459,1459,PH4650,Kỹ thuật đo lường ánh sáng,3(2-1-1-6),3.0,4.5,0.7,1459,,Light Measurement,Kỹ thuật đo lường ánh sáng,VVLKT
1460,1460,1460,PH4660,Vật lý laser,2(2-0-0-4),2.0,2,0.7,1460,,Laser Physics,Vật lý laser,VVLKT
1461,1461,1461,PH4670,Thiết kế hệ thống chiếu sáng,3(2-1-1-6),3.0,4.5,0.7,1461,,Lighting System Design,Thiết kế hệ thống chiếu sáng,VVLKT
1462,1462,1462,PH4680,Hệ thống điện cho chiếu sáng,2(2-0-0-4),2.0,2,0.7,1462,,Electric Systems for Lighting,Hệ thống điện cho chiếu sáng,VVLKT
1463,1463,1463,PH4690,Kỹ thuật hiển thị hình ảnh,2(2-0-0-4),2.0,2,0.7,1463,,Electronic Display Engineering,Kỹ thuật hiển thị hình ảnh,VVLKT
1464,1464,1464,PH4700,Đo lường học lượng tử,2(1-1-0.5-4),2.0,3,0.7,1464,PH4601,Quantum Measurement,Đo lường học lượng tử,VVLKT
1465,1465,1465,PH4720,Quy hoạch thực nghiệm,3(3-1-0-4),3.0,4,0.7,1465,,Experimental Design,Quy hoạch thực nghiệm,VVLKT
1466,1466,1466,PH5010,Thực tập tốt nghiệp,4(0-0-8-16),4.0,10,0.5,1466,,Graduation Practicum,Thực tập tốt nghiệp,VVLKT
1467,1467,1467,PH5020,Thực tập tốt nghiệp,4(0-0-8-16),4.0,10,0.5,1467,,Graduation Practicum,Thực tập tốt nghiệp,VVLKT
1468,1468,1468,PH5030,Thực tập tốt nghiệp,4(0-0-8-16),4.0,10,0.5,1468,,Graduation Practicum,Thực tập tốt nghiệp,VVLKT
1469,1469,1469,PH5040,Thực tập tốt nghiệp,4(0-0-8-16),4.0,10,0.5,1469,,Graduation Practicum,Thực tập tốt nghiệp,VVLKT
1470,1470,1470,PH5110,Đồ án tốt nghiệp,10(0-0-20-40),10.0,25,0.5,1470,,Graduation Project,Đồ án tốt nghiệp,VVLKT
1471,1471,1471,PH5120,Đồ án tốt nghiệp,10(0-0-20-40),10.0,25,0.5,1471,,Graduation Project,Đồ án tốt nghiệp,VVLKT
1472,1472,1472,PH5130,Đồ án tốt nghiệp,10(0-0-20-40),10.0,25,0.5,1472,,Graduation Project,Đồ án tốt nghiệp,VVLKT
1473,1473,1473,PH5140,Đồ án tốt nghiệp,10(0-0-20-40),10.0,25,0.5,1473,,Graduation Project,Đồ án tốt nghiệp,VVLKT
1474,1474,1474,CH4000,Động học xúc tác,3(3-1-0-6),3.0,4,0.75,1474,,Kinetics and Catalysis,Động học xúc tác,KCNHH
1475,1475,1475,CH4001,Tổng hợp các hợp chất trung gian hóa dầu,2(2-1-0-4),2.0,3,0.75,1475,"CH3200,CH3210",Synthesis of Petrochemical Intermediates,Tổng hợp các hợp chất trung gian hóa dầu,KCNHH
1476,1476,1476,CH4002,Hóa học dầu mỏ,3(3-1-0-6),3.0,4,0.75,1476,,Petroleum Chemistry,Hóa học dầu mỏ,KCNHH
1477,1477,1477,CH4003,Hoá học xenluloza - giấy,2(2-1-0-4),2.0,3,0.75,1477,"CH3200, CH3210",Chemistry of Cellulose and Paper,Hoá học xenluloza - giấy,KCNHH
1478,1478,1478,CH4004,Sản phẩm dầu mỏ,3(3-1-0-6),3.0,4,0.75,1478,,Petroleum Products,Sản phẩm dầu mỏ,KCNHH
1479,1479,1479,CH4005,Phân tích hóa lý,2(2-1-0-4),2.0,3,0.75,1479,"PH1010,PH1020,CH3100,CH3110,CH3000,CH3010,CH3020,CH3030,CH3200,CH3210, CH3300,CH3310, CH3320=",Physico-chemical Analysis,Phân tích hóa lý,KCNHH
1480,1480,1480,CH4006,Công nghệ chế biến dầu,4(4-1-0-8),4.0,5,0.75,1480,,Oil Processing Technology,Công nghệ chế biến dầu,KCNHH
1481,1481,1481,CH4007,Chuyên đề,2(2-1-0-4),2.0,3,0.75,1481,,Special Topics,Chuyên đề,KCNHH
1482,1482,1482,CH4008,Công nghệ chế biến khí,3(3-1-0-6),3.0,4,0.75,1482,,Gas Processing Technology,Công nghệ chế biến khí,KCNHH
1483,1483,1483,CH4009,Hóa học và hóa lý polyme,2(2-1-0-4),2.0,3,0.75,1483,,Chemistry and Physico-chemistry of Polymers,Hóa học và hóa lý polyme,KCNHH
1484,1484,1484,CH4010,Công nghệ tổng hợp hữu cơ hóa dầu,3(3-1-0-6),3.0,4,0.75,1484,"(CH3200/CH3220),(CH3210/CH3230),(CH4002/CH4032),(CH4000/CH4030)",Organic synthesis and petrochemical Technology,Công nghệ tổng hợp hữu cơ hóa dầu,KCNHH
1485,1485,1485,CH4011,Đường ống bể chứa,2(2-1-0-4),2.0,3,0.75,1485,,Pipelines and Tanks,Đường ống bể chứa,KCNHH
1486,1486,1486,CH4012,Thiết bị tổng hợp hữu cơ hóa dầu,3(3-1-0-6),3.0,4,0.75,1486,,Equipments in Organic Synthesis and Petro-chemistry,Thiết bị tổng hợp hữu cơ hóa dầu,KCNHH
1487,1487,1487,CH4014,Thí nghiệm chuyên ngành hóa dầu 1,2(0-0-4-4),2.0,6,0.75,1487,,Petrochemical Experiments 1,Thí nghiệm chuyên ngành hóa dầu I,KCNHH
1488,1488,1488,CH4016,Thí nghiệm chuyên ngành 2,2(0-0-4-4),2.0,6,0.75,1488,,Advanced Experiments 2,Thí nghiệm chuyên ngành 2,KCNHH
1489,1489,1489,CH4018,Hóa học và công nghệ chế biến than,2(2-1-0-4),2.0,3,0.75,1489,,Coal Chemistry and Processing Technology,Hóa học và công nghệ chế biến than,KCNHH
1490,1490,1490,CH4020,Đồ án môn học chuyên ngành,2(2-1-0-4),2.0,4,0.75,1490,,Senior Project,Đồ án môn học chuyên ngành,KCNHH
1491,1491,1491,CH4022,Thực tập nhận thức,3(0-0-6-12),3.0,6,0.75,1491,,Introductory Practicum,Thực tập nhận thức,KCNHH
1492,1492,1492,CH4024,Thực tập kỹ thuật,2(0-0-4-8),2.0,4,0.75,1492,,Engineering Practicum,Thực tập kỹ thuật,KCNHH
1493,1493,1493,CH4060,Hóa học polyme,3(3-0-2-6),3.0,6,0.7,1493,,Polymer Chemistry,Hóa học polyme,KCNHH
1494,1494,1494,CH4061,Hóa học dầu mỏ,2(2-0-0-4),2.0,2,0.75,1494,,Petroleum Chemistry,Hóa học dầu mỏ,KCNHH
1495,1495,1495,CH4062,Hóa lý polyme,3(3-1-0-6),3.0,4,0.7,1495,,Polymer Physical Chemistry,Hóa lý polyme,KCNHH
1496,1496,1496,CH4063,Động học xúc tác,2(2-0-0-4),2.0,2,0.75,1496,,Kinetics and Catalysis,Động học xúc tác,KCNHH
1497,1497,1497,CH4064,Kỹ thuật sản xuất chất dẻo,3(3-1-0-6),3.0,4,0.7,1497,"CH4060 ,CH4062",Plastic Processing and Manufacturing,Kỹ thuật sản xuất chất dẻo,KCNHH
1498,1498,1498,CH4065,Thiết bị phản ứng,2(2-0-0-4),2.0,2,0.75,1498,,Reactors,Thiết bị phản ứng,KCNHH
1499,1499,1499,CH4067,Hoá học xenluloza - giấy,2(2-1-0-4),2.0,3,0.75,1499,"CH4060, CH4062",Chemistry of Cellulose and Paper,Hoá học xenluloza - giấy,KCNHH
1500,1500,1500,CH4068,Kỹ thuật sản xuất chất tạo màng và sơn,3(3-0-2-6),3.0,6,0.75,1500,"CH4060 ,CH4062",Paints Engineering and Technology,Kỹ thuật sản xuất chất tạo màng và sơn,KCNHH
1501,1501,1501,CH4069,Hoá học polyme phân huỷ sinh học,2(2-0-0-4),2.0,2,0.75,1501,"CH4060, CH4062",Biodegradable Polymer Chemistry,Hoá học polyme phân huỷ sinh học,KCNHH
1502,1502,1502,CH4070,Kỹ thuật gia công cao su,3(3-0-2-6),3.0,6,0.75,1502,"CH4060, CH4062",Rubber Processing,Kỹ thuật gia công cao su,KCNHH
1503,1503,1503,CH4071,Hoá học polyme y sinh,2(2-0-0-4),2.0,2,0.75,1503,"CH4060, CH4062",Biomedical Polymer Chemistry,Hoá học polyme y sinh,KCNHH
1504,1504,1504,CH4072,Kỹ thuật gia công chất dẻo,3(3-1-0-6),3.0,4,0.75,1504,"CH4060, CH4062",Plastic Processing,Kỹ thuật gia công chất dẻo,KCNHH
1505,1505,1505,CH4073,Hoá học polyme silicon,2(2-0-0-4),2.0,2,0.75,1505,"CH4060, CH4062",Silicon Chemistry,Hoá học polyme silicon,KCNHH
1506,1506,1506,CH4075,Công nghệ hoá học polyme blend,2(2-0-0-4),2.0,2,0.75,1506,"CH3000, CH3010, CH3020, CH3030",Polymer Blend Engineering,Công nghệ hoá học polyme blend,KCNHH
1507,1507,1507,CH4076,Máy và thiết bị gia công vật liệu polyme,2(2-0-0-4),2.0,2,0.75,1507,"CH4060, CH4062, CH4070= ,CH4072=",Equipment for Polymer Processing,Máy và thiết bị gia công vật liệu polyme,KCNHH
1508,1508,1508,CH4078,Đồ án môn học chuyên ngành,2(1-2-0-6),2.0,4,0.75,1508,,Senior Project,Đồ án môn học chuyên ngành,KCNHH
1509,1509,1509,CH4080,Thực tập nhận thức,3(0-0-6-12),3.0,6,0.75,1509,,Introductory Practicum,Thực tập nhận thức,KCNHH
1510,1510,1510,CH4082,Thực tập kỹ thuật,2(0-0-4-8),2.0,4,0.75,1510,,Engineering Practicum,Thực tập kỹ thuật,KCNHH
1511,1511,1511,CH4120,Điện hoá lý thuyết,4(4-1-1-8),4.0,6.5,0.7,1511,"CH3030, CH4128=, CH4124=",Theoretical Electrochemistry,Điện hoá lý thuyết,KCNHH
1512,1512,1512,CH4121,Vật liệu học trong điện hoá,2(2-0-0.5-4),2.0,3,0.7,1512,"CH4120, CH4124",Electrochemical Materials,Vật liệu học trong điện hoá,KCNHH
1513,1513,1513,CH4122,Công nghệ mạ,3(3-1-0.5-6),3.0,5,0.7,1513,"CH4120,CH4124",Electroplating,Công nghệ mạ,KCNHH
1514,1514,1514,CH4124,Điện hoá bề mặt,2(2-1-0.5-4),2.0,4,0.75,1514,,Surface Electrochemistry,Điện hoá bề mặt,KCNHH
1515,1515,1515,CH4125,Điện hoá và xử lý môi trường,2(2-0-0.5-4),2.0,3,0.7,1515,CH4120,Electrochemical Methods for Waste Water Treatment,Điện hoá và xử lý môi trường,KCNHH
1516,1516,1516,CH4127,Kỹ thuật đo điện hoá,2(2-1-0.5-4),2.0,4,0.7,1516,"CH3010, CH4120",Electrochemical measurement technique,Kỹ thuật đo điện hoá,KCNHH
1517,1517,1517,CH4128,Ăn mòn và bảo vệ kim loại,3(3-0-1-6),3.0,4.5,0.6,1517,CH3060,Corrosion and Protection of Metals,Ăn mòn và bảo vệ kim loại,KCNHH
1518,1518,1518,CH4130,Điện phân thoát kim loại,3(3-1-0.5-6),3.0,5,0.75,1518,CH4120,Electrowinning,Điện phân thoát kim loại,KCNHH
1519,1519,1519,CH4132,Điện phân không thoát kim loại,2(2-1-0.5-4),2.0,4,0.75,1519,CH4120,Electrosynthesis of Inorganic Compounds,Điện phân không thoát kim loại,KCNHH
1520,1520,1520,CH4134,Tổng hợp điện hoá hữu cơ,2(2-0.5-0.5-4),2.0,3.5,0.75,1520,CH4120,Organic Electro-synthesis,Tổng hợp điện hoá hữu cơ,KCNHH
1521,1521,1521,CH4136,Thí nghiệm chuyên ngành,3(1-0-5-6),3.0,9,0.75,1521,,Advanced Experiments,Thí nghiệm chuyên ngành,KCNHH
1522,1522,1522,CH4138,Nguồn điện hoá học,3(3-1-0.5-6),3.0,5,0.7,1522,"CH4120, CH4122=, CH4130=, CH4132=",Chemical Power Source,Nguồn điện hoá học,KCNHH
1523,1523,1523,CH4140,Đồ án chuyên ngành,2(0-3-0-6),2.0,4,0.7,1523,,Senior Project,Đồ án chuyên ngành,KCNHH
1524,1524,1524,CH4142,Thực tập nhận thức,3(0-0-6-12),3.0,6,0.5,1524,,Introductory Practicum,Thực tập nhận thức,KCNHH
1525,1525,1525,CH4144,Thực tập kỹ thuật,2(0-0-4-8),2.0,4,0.5,1525,,Engineering Practicum,Thực tập kỹ thuật,KCNHH
1526,1526,1526,CH4180,Anh văn KHKT 1,2(2-1-0-4),2.0,3,0.8,1526,"CH4184, CH4186, CH4188, CH4190",Technical English 1,Anh văn KHKT 1,KCNHH
1527,1527,1527,CH4181,AutoCAD cho thiết kế XD nhà máy silicat,2(2-1-0-4),2.0,3,0.75,1527,,AutoCAD for Design of Silicate Factories,AutoCAD cho thiết kế XD nhà máy silicat,KCNHH
1528,1528,1528,CH4182,Thực tập nhận thức,3(0-0-6-12),3.0,6,0.75,1528,,Introductory Practicum,Thực tập nhận thức,KCNHH
1529,1529,1529,CH4183,Anh văn KHKT 2,3(3-1-0-6),3.0,4,0.8,1529,CH4180,Technical English 2,Anh văn KHKT 2,KCNHH
1530,1530,1530,CH4184,Hoá lý silicat 1,4(4-1-1-8),4.0,6.5,0.8,1530,,Physical Chemistry of Silicates 1,Hoá lý silicat 1,KCNHH
1531,1531,1531,CH4186,Khoáng vật học silicat,2(2-0-1-4),2.0,3.5,0.8,1531,,Silicate Mineralogy,Khoáng vật học silicat,KCNHH
1532,1532,1532,CH4187,Thiết bị nhà máy silicat 2,2(2-1-0-4),2.0,3,0.8,1532,CH4188,Processing Equipments in Silicate Industry 2,Thiết bị nhà máy silicat 2,KCNHH
1533,1533,1533,CH4188,Thiết bị nhà máy silicat 1,3(3-2-0-6),3.0,5,0.8,1533,,Processing Equipments in Silicate Industry 1,Thiết bị nhà máy silicat 1,KCNHH
1534,1534,1534,CH4189,Hoá lý silicat 2,2(2-1-0.5-4),2.0,4,0.8,1534,CH4184,Physical Chemistry of Silicates 2,Hoá lý silicat 2,KCNHH
1535,1535,1535,CH4190,Lò silicat 1,3(3-2-0-6),3.0,5,0.8,1535,,Heating Equipments in Silicate Industry 1,Lò silicat 1,KCNHH
1536,1536,1536,CH4191,Lò silicat 2,2(2-1-0.5-4),2.0,4,0.8,1536,CH4190,Heating Equipments in silicate industry 2,Lò silicat 2,KCNHH
1537,1537,1537,CH4194,Thực tập kỹ thuật,2(0-0-4-8),2.0,4,0.75,1537,,Engineering Practicum,Thực tập kỹ thuật,KCNHH
1538,1538,1538,CH4196,Công nghệ vật liệu kết dính,2(2-1-0-4),2.0,3,0.7,1538,CH4209,Cement Technology,Công nghệ vật liệu kết dính,KCNHH
1539,1539,1539,CH4198,Công nghệ gốm sứ,2(2-1-0-4),2.0,3,0.8,1539,CH4209,Ceramic Technology,Công nghệ gốm sứ,KCNHH
1540,1540,1540,CH4200,Công nghệ thuỷ tinh,2(2-1-0-4),2.0,3,0.8,1540,CH4209,Glass Technology,Công nghệ thuỷ tinh,KCNHH
1541,1541,1541,CH4201,Chuyên đề kỹ thuật 1,2(2-1-0-4),2.0,3,0.8,1541,,Special Topics 1,Chuyên đề kỹ thuật 1,KCNHH
1542,1542,1542,CH4202,Công nghệ vật liệu chịu lửa,2(2-1-0-4),2.0,3,0.8,1542,"CH4184, CH4186, CH4188, CH4190",Refractory Technology,Công nghệ vật liệu chịu lửa,KCNHH
1543,1543,1543,CH4203,Chuyên đề kỹ thuật 2,2(2-1-0-4),2.0,3,0.8,1543,,Special Topics 2,Chuyên đề kỹ thuật 2,KCNHH
1544,1544,1544,CH4204,Thí nghiệm chuyên ngành,4(2-0-8-12),4.0,12,0.8,1544,"CH4200,CH4202,CH4206",Advanced Experiments,Thí nghiệm chuyên ngành,KCNHH
1545,1545,1545,CH4205,Công nghệ gốm thuỷ tinh,2(2-1-0-4),2.0,3,0.8,1545,"CH4184, CH4186, CH4188, CH4190",Glass and Ceramic Technology,Công nghệ gốm thuỷ tinh,KCNHH
1546,1546,1546,CH4206,Đồ án môn học chuyên ngành,2(1-2-0-4),2.0,4,0.75,1546,,Senior Project,Đồ án môn học chuyên ngành,KCNHH
