,id,Mã học phần,Tên học phần,Thời lượng,Số tín chỉ,TC học phí,Trọng số
1528,1528,CH4182,Thực tập nhận thức,3(0-0-6-12),3,6,0.75
1529,1529,CH4183,Anh văn KHKT 2,3(3-1-0-6),3,4,0.8
1530,1530,CH4184,Hoá lý silicat 1,4(4-1-1-8),4,6.5,0.8
1531,1531,CH4186,Khoáng vật học silicat,2(2-0-1-4),2,3.5,0.8
1532,1532,CH4187,Thiết bị nhà máy silicat 2,2(2-1-0-4),2,3,0.8
1533,1533,CH4188,Thiết bị nhà máy silicat 1,3(3-2-0-6),3,5,0.8
1534,1534,CH4189,Hoá lý silicat 2,2(2-1-0.5-4),2,4,0.8
1535,1535,CH4190,Lò silicat 1,3(3-2-0-6),3,5,0.8
1536,1536,CH4191,Lò silicat 2,2(2-1-0.5-4),2,4,0.8
1537,1537,CH4194,Thực tập kỹ thuật,2(0-0-4-8),2,4,0.75
1538,1538,CH4196,Công nghệ vật liệu kết dính,2(2-1-0-4),2,3,0.7
1539,1539,CH4198,Công nghệ gốm sứ,2(2-1-0-4),2,3,0.8
1540,1540,CH4200,Công nghệ thuỷ tinh,2(2-1-0-4),2,3,0.8
1541,1541,CH4201,Chuyên đề kỹ thuật 1,2(2-1-0-4),2,3,0.8
1542,1542,CH4202,Công nghệ vật liệu chịu lửa,2(2-1-0-4),2,3,0.8
1543,1543,CH4203,Chuyên đề kỹ thuật 2,2(2-1-0-4),2,3,0.8
1544,1544,CH4204,Thí nghiệm chuyên ngành,4(2-0-8-12),4,12,0.8
1545,1545,CH4205,Công nghệ gốm thuỷ tinh,2(2-1-0-4),2,3,0.8
1546,1546,CH4206,Đồ án môn học chuyên ngành,2(1-2-0-4),2,4,0.75
1547,1547,CH4240,Thực tập nhận thức,3(0-0-6-12),3,6,0.75
1548,1548,CH4241,Điện hoá kỹ thuật,2(2-1-0-4),2,3,0.7
1549,1549,CH4242,Nhiệt động kỹ thuật hóa học,2(2-1-0-4),2,3,0.7
1550,1550,CH4243,Xử lí nước,2(2-1-0-4),2,3,0.7
1551,1551,CH4244,Giản đồ pha,2(2-1-0-4),2,3,0.7
1552,1552,CH4245,Công nghệ Nano,2(2-1-0-4),2,3,0.7
1553,1553,CH4246,Hoá học chất rắn vô cơ,2(2-1-0-4),2,3,0.7
1554,1554,CH4247,Thiết bị trong công nghệ các chất vô cơ,2(2-1-0-4),2,3,0.7
1555,1555,CH4248,Động học và thiết bị phản ứng,2(2-1-0-4),2,3,0.7
1556,1556,CH4249,Công nghệ xạ hiếm,2(2-1-0-4),2,3,0.7
1557,1557,CH4250,Kỹ thuật tách và làm sạch,2(2-1-0-4),2,3,0.7
1558,1558,CH4251,Công nghệ muối khoáng,2(2-1-0-4),2,3,0.7
1559,1559,CH4252,Vật liệu vô cơ,3(3-1-0-6),3,4,0.7
1560,1560,CH4253,Gốm kỹ thuật,2(2-1-0-4),2,3,0.7
1561,1561,CH4254,Thực tập kỹ thuật,2(0-0-4-8),2,4,0.75
1562,1562,CH4255,Tự động hoá trong CN các chất vô cơ,2(2-1-0-4),2,3,0.7
1563,1563,CH4256,Ăn mòn và bảo vệ kim loại,2(2-1-0-4),2,3,0.7
1564,1564,PH1110E,Physics I,3(2-1-1-6),3,4.5,0.7
1565,1565,CH4257,Chế biến khoáng sản,2(2-1-0-4),2,3,0.7
1566,1566,CH4258,Công nghệ phân bón,2(2-1-0-4),2,3,0.7
1567,1567,CH4260,Công nghệ các chất Nitơ,3(3-1-0-4),3,4,0.7
1568,1568,CH4262,Công nghệ axit,2(2-1-0-4),2,3,0.7
1569,1569,CH4264,Công nghệ sôđa và các chất kiềm,2(2-1-0-4),2,3,0.7
1570,1570,CH4266,TN chuyên ngành,2(0-0-4-4),2,6,0.7
1571,1571,CH4268,Đồ án môn học chuyên ngành,2(1-2-0-6),2,4,0.75
1572,1572,CH4300,Hóa học chất rắn,3(3-1-0.5-6),3,5,0.75
1573,1573,CH4301,Hóa học tính toán,2(2-1-0-4),2,3,0.7
1574,1574,CH4302,"Nhiệt động thống kê, không CB",2(2-1-0-4),2,3,0.75
1575,1575,CH4303,Chuyên đề 1 (Xúc tác phức và ứng dụng),2(2-1-0.5-4),2,4,0.75
1576,1576,CH4304,Hóa lý các hiện tượng bề mặt,2(2-1-0.5-4),2,4,0.75
1577,1577,CH4308,Kỹ thuật xúc tác,3(3-1-0.5-6),3,5,0.75
1578,1578,CH4309,Kỹ thuật xử lý nước thải,2(2-1-0-4),2,3,0.75
1579,1579,CH4310,Hóa học các hợp chất phức,2(2-1-0.5-4),2,4,0.75
1580,1580,CH4312,Các phương pháp phân tích và tổng hợp hữu cơ,2(2-1-0.5-4),2,4,0.75
1581,1581,CH4313,Hóa học vật liệu tiên tiến,2(2-1-0-4),2,3,0.75
1582,1582,CH4314,Điện hóa lý thuyết,3(3-0-1-6),3,4.5,0.8
1583,1583,CH4316,Thiết bị phản ứng,3(3-0-0-6),3,3,0.75
1584,1584,CH4318,Đồ án chuyên ngành,2(1-1-1-4),2,4,0.75
1585,1585,CH4320,Thực tập nhận thức,3(0-0-6-12),3,6,0.75
1586,1586,CH4322,Thực tập kỹ thuật,2(0-0-4-8),2,4,0.75
1587,1587,CH4362,Kỹ thuật hóa học đại cương,3(3-1-0-6),3,4,0.75
1588,1588,CH4363,Lý thuyết tập hợp hạt,2(2-1-0-4),2,3,0.75
1589,1589,CH4364,Ứng dụng tin học trong CNHH,3(3-1-1-6),3,5.5,0.75
1590,1590,CH4366,Mô hình điều khiển,2(2-1-0.5-4),2,4,0.7
1591,1591,CH4367,Cơ sở kỹ thuật nano,2(2-1-0-4),2,3,0.7
1592,1592,CH4370,Công nghệ màng,3(3-1-0-6),3,4,0.7
1593,1593,CH4372,Kỹ thuật công trình,2(2-1-0.5-4),2,4,0.7
1594,1594,CH4374,Kỹ thuật tách các hỗn hợp nhiều cấu tử,2(2-1-0-4),2,3,0.7
1595,1595,CH4376,Kỹ thuật phản ứng,2(2-1-0-4),2,3,0.7
1596,1596,CH4378,Kỹ thuật hệ thống,2(2-1-0-4),2,3,0.7
1597,1597,CH4384,Thí nghiệm chuyên ngành,2(2-0-1-4),2,6,0.75
1598,1598,CH4386,Thực tập nhận thức,3(0-0-6-12),3,6,0.75
1599,1599,CH4388,Thực tập kỹ thuật,2(0-0-4-8),2,4,0.75
1600,1600,CH4420,Hóa học gỗ,3(2-1-2-6),3,6,0.6
1601,1601,CH4421,Hóa học và hóa lý polyme,2(2-0-1-4),2,3,0.7
1602,1602,CH4422,Hóa học Xenluloza,3(2-1-2-6),3,6,0.6
1603,1603,CH4424,Công nghệ sản xuất Xenluloza,3(2-1-2-6),3,6,0.6
1604,1604,CH4425,Công nghệ In đại cương,2(2-0-0-4),2,2,0.75
1605,1605,CH4426,Công nghệ tẩy trắng Xenluloza,3(2-1-2-6),3,6,0.6
1606,1606,CH4427,Kỹ thuật sản xuất bao bì,2(2-1-0-4),2,3,0.75
1607,1607,CH4428,Công nghệ chuẩn bị bột giấy,3(2-1-2-6),3,6,0.6
1608,1608,CH4429,Hóa học phần ướt,2(2-1-0-4),2,3,0.75
1609,1609,CH4430,Công nghệ sản xuất giấy,3(2-1-2-6),3,6,0.6
1610,1610,CH4431,Công nghệ chế biến giấy loại và khử mực,2(2-1-0-4),2,3,0.75
1611,1611,CH4432,Thiết bị sản xuất giấy và bột giấy,3(3-1-0-6),3,4,0.75
1612,1612,CH4435,Sản xuất bột giấy hiệu suất cao,2(2-1-0-4),2,3,0.75
1613,1613,CH4436,Xử lý bề mặt giấy,2(2-1-0-4),2,3,0.75
1614,1614,CH4437,Tính chất của giấy và thử nghiệm,2(2-1-0-4),2,3,0.75
1615,1615,CH4438,Đồ án chuyên ngành,2(1-2-0-4),2,4,0.5
1616,1616,CH4440,Thực tập nhận thức,3(0-0-6-12),3,6,0.5
1617,1617,CH4442,Thực tập kỹ thuật,2(0-0-4-8),2,4,0.5
1618,1618,CH4480,Các quá trình cơ bản tổng hợp hữu cơ,2(2-1-0-4),2,3,0.75
1619,1619,CH4481,Phân tích cấu trúc bằng phổ,2(2-1-0-4),2,3,0.7
1620,1620,CH4482,Hóa học các hợp chất thiên nhiên,2(2-1-0-4),2,3,0.75
1621,1621,CH4483,Hoá học mỹ phẩm & hương liệu,2(2-1-0-4),2,3,0.7
1622,1622,CH4484,Các quá trình cơ bản tổng hợp hóa dược,2(2-1-0-4),2,3,0.75
1623,1623,CH4485,Hoá học cây thuốc & KT chiết xuất,2(2-0-0-4),2,2,0.75
1624,1624,CH4486,Hóa học bảo vệ thực vật,3(3-1-0-6),3,4,0.75
1625,1625,CH4487,Sản xuất thuốc theo tiêu chuẩn GMP,2(2-0-0-4),2,2,0.75
1626,1626,MSE4xxx,Thực tập tốt nghiệp,2(2-1-0-4),2,3,0.7
1627,1627,CH4488,KT TH các chất có hoạt tính sinh học,2(2-1-0-4),2,3,0.75
1628,1628,IT4020,Nhập môn lý thuyết tính toán,3(3-1-0-6),3,4,0.7
1629,1629,CH4017,Tiếng Anh dành cho sinh viên ngành hóa dầu,2(2-1-0-4),2,3,0.7
1630,1630,JP1131,Tiếng Nhật 3,4(0-8-0-8),4,8,0.7
1631,1631,CH4490,Cơ sở kỹ thuật bào chế,2(2-1-0-4),2,3,0.75
1632,1632,CH4491,CN sinh học trong hoá dựoc,2(2-0-0-4),2,2,0.75
1633,1633,CH4492,Hoá dược & KT tổng hợp 1,3(3-1-0-6),3,4,0.75
1634,1634,CH4493,Kỹ thuật gia công thuốc bảo vệ thực vật,2(2-0-0-4),2,2,0.75
1635,1635,CH4494,KT tổng hợp các hợp chất bảo vệ thực vật,3(3-1-0-6),3,4,0.75
1636,1636,CH4495,KT hoá học đại cương,3(3-1-1-6),3,5.5,0.75
1637,1637,CH4496,Hoá dược & KT tổng hợp 2,3(3-1-0-6),3,4,0.75
1638,1638,CH4498,Hoá dược & KT tổng hợp 3,2(2-1-0-4),2,3.5,0.75
1639,1639,CH4500,Thí nghiệm chuyên ngành,2(0-0-6-4),2,6,0.75
1640,1640,CH4502,Đồ án môn học chuyên ngành,2(1-2-0-4),2,4,0.75
1641,1641,CH4504,Thực tập nhận thức,3(0-0-6-12),3,6,0.75
1642,1642,CH4506,Thực tập kỹ thuật,2(0-0-4-8),2,4,0.75
1643,1643,CH4600,Bơm quạt máy nén,2(2-1-0-4),2,3,0.75
1644,1644,CH4602,Quá trình và thiết bị thuỷ cơ,4(4-1-1-8),4,6.5,0.75
1645,1645,CH4604,Máy gia công vật liệu rắn,2(2-1-0-4),2,3,0.75
1646,1646,CH4606,Máy gia công vật liệu dẻo,2(2-1-0-4),2,3,0.75
1647,1647,CH4608,Cơ sở tính toán máy và thiết bị,4(4-2-0-8),4,6,0.7
1648,1648,CH4610,Quá trình và thiết bị chuyển khối,4(4-1-0.5-8),4,6,0.75
1649,1649,CH4612,Quá trình và thiết bị nhiệt lạnh,4(4-1-0.5-8),4,6,0.75
1650,1650,CH4613,CN hữu cơ hoá dầu,2(2-1-0-4),2,3,0.75
1651,1651,CH4614,Quá trình và thiết bị sấy,2(2-0-1-4),2,3.5,0.75
1652,1652,IT4030,Nhập môn hệ quản trị cơ sở dữ liệu,2(1-2-0-4),2,3,0.7
1653,1653,CH4615,CN vô cơ điện hoá & silicat,2(2-1-0-4),2,3,0.75
1654,1654,CH4616,Thiết bị phản ứng,4(4-1-0-8),4,5,0.75
1655,1655,CH4617,Thiết kế lắp đặt công trình hoá chất,2(2-1-0-4),2,3,0.75
1656,1656,CH4618,Đồ án môn học,1(1-1-0-3),1,2,0.75
1657,1657,CH4619,Kỹ thuật đường ống và phụ kiện,2(2-1-0-4),2,3,0.75
1658,1658,CH4620,Đồ án chuyên ngành,2(2-1-0-4),2,4,0.75
1659,1659,CH4621,Máy vận chuyển Vật liệu rời,2(2-1-0-4),2,3,0.75
1660,1660,CH4623,Ứng dụng tin học trong CNHH,2(2-1-0.5-4),2,4,0.75
1661,1661,CH4624,Thực tập nhận thức,1(0-0-2-8),1,2,0.75
1662,1662,CH4625,Tiếng Anh chuyên ngành,2(2-1-0-4),2,3,0.75
1663,1663,CH4626,Thực tập kỹ thuật,2(0-0-4-8),2,4,0.75
1664,1664,CH4627,Nhiệt động kỹ thuật,2(2-1-0-4),2,3,0.75
1665,1665,CH4629,Chuyên đề,2(2-1-0-4),2,3,0.75
1666,1666,CH4631,Kỹ thuật an toàn và môi trường,2(2-1-0-4),2,3,0.75
1667,1667,CH4633,Công nghệ hàn,2(2-1-0-4),2,3,0.75
1668,1668,CH4660,Kỹ thuật sắp chữ dàn trang,2(2-1-0-4),2,3,0.75
1669,1669,CH4661,Các vật liệu in đặc biệt,2(2-1-0-4),2,3,0.75
1670,1670,CH4662,Kỹ thuật xử lý ảnh,3(2-1-0-6),3,3,0.75
1671,1671,CH4663,Chuyên đề,2(2-1-0-4),2,3,0.75
1672,1672,CH4664,Kỹ thuật xuất dữ liệu và chế khuôn in,3(2-1-1-6),3,4.5,0.75
1673,1673,CH4665,Chế khuôn in từ dữ liệu số,2(2-1-0-4),2,3,0.75
1674,1674,CH4666,Kỹ thuật in I,3(3-1-0-6),3,4,0.75
1675,1675,CH4667,Thiết kế một số nhà máy in điển hình,2(2-1-0-4),2,3,0.75
1676,1676,CH4668,Kỹ thuật in II,2(2-1-0-4),2,3,0.75
1677,1677,CH4669,KT in lưới và in lõm,2(2-1-0-4),2,3,0.75
1678,1678,CH4670,Kỹ thuật và thiết bị gia công sau in,4(4-1-0-8),4,5,0.75
1679,1679,CH4671,KT in số,2(2-1-0-4),2,3,0.75
1680,1680,MIL1140,Chiến thuật & kỹ thuật bắn súng tiểu liên AK,0(1-0-1-4),0,2,0.7
1681,1681,CH4672,An toàn lao động và môi trường ngành in,2(2-1-0-4),2,3,0.75
1682,1682,CH4673,Kỹ thuật gia công các loại bao bì,2(2-1-0-6),2,3,0.75
1683,1683,CH4674,Tổ chức và quản lý sản xuất in,2(2-1-0-4),2,3,0.75
1684,1684,CH4675,Tiêu chuẩn hoá chất lượng in offset,2(2-1-0-4),2,3,0.75
1685,1685,CH4676,Đồ án môn học,1(0-2-0-4),1,2,0.75
1686,1686,CH4678,Cơ sở thiết kế nhà máy in,2(2-1-0-4),2,3,0.75
1687,1687,CH4680,Đồ án chuyên ngành,2(1-2-0-6),2,4,0.75
1688,1688,CH4682,Anh văn chuyên ngành,2(1-2-0-4),2,3,0.75
1689,1689,CH4686,Thí nghiệm chuyên ngành 1,2(0-0-6-6),2,6,0.75
1690,1690,CH4688,Thí nghiệm chuyên ngành 2,3(0-0-9-9),3,9,0.75
1691,1691,CH4690,Thực tập nhận thức,3(0-0-6-12),3,6,0.75
1692,1692,CH4692,Thực tập kỹ thuật,2(0-0-4-4),2,4,0.75
1693,1693,CH5001,Thực tập tốt nghiệp (Hữu cơ hoá dầu),2(0-0-4-8),2,5,0.5
1694,1694,CH5003,Thực tập tốt nghiệp (CN điện hoá & BVKL),2(0-0-4-8),2,5,0.5
1695,1695,CH5006,Thực tập tốt nghiệp (Hoá lý),2(0-0-4-8),2,5,0.5
1696,1696,CH5009,Thực tập tốt nghiệp (CN Hoá dược),2(0-0-4-8),2,5,0.5
1697,1697,CH5012,Thực tập tốt nghiệp (CN in),2(0-0-4-8),2,5,0.5
1698,1698,CH5101,Đồ án tốt nghiệp (Hữu cơ hoá dầu),10(0-0-20-40),10,25,0.5
1699,1699,CH5103,Đồ án tốt nghiệp (CN điện hoá & BVKL),10(0-0-20-40),10,25,0.5
1700,1700,CH5104,Đồ án tốt nghiệp (CN vật liệu Silicat),10(0-0-20-40),10,25,0.5
1701,1701,CH5105,Đồ án tốt nghiệp (CN các hợp chất vô cơ),10(0-0-20-40),10,25,0.5
1702,1702,CH5106,Đồ án tốt nghiệp (Hoá lý),10(0-0-20-40),10,25,0.5
1703,1703,CH5108,Đồ án tốt nghiệp (CN giấy & xenluloza),10(0-0-20-40),10,25,0.5
1704,1704,CH5109,Đồ án tốt nghiệp (CN Hoá dược),10(0-0-20-40),10,25,0.5
1705,1705,CH5112,Đồ án tốt nghiệp (CN in),10(0-0-20-40),10,25,0.5
1706,1706,IT4040,Trí tuệ nhân tạo,3(3-1-0-6),3,4,0.7
1707,1707,IT4050,Thiết kế và phân tích thuật toán,3(3-1-0-6),3,4,0.6
1708,1708,IT4060,Lập trình mạng,2(1-2-0-4),2,3,0.7
1709,1709,IT4070,Ngôn ngữ và phương pháp dịch,3(3-1-0-6),3,4,0.7
1710,1710,IT4080,Nhập môn công nghệ phần mềm,2(2-1-0-4),2,3,0.7
1711,1711,IT4090,Xử lý ảnh,2(2-1-0-4),2,3,0.7
1712,1712,IT4091,Xử lý ảnh,2(2-1-0-4),2,3,0.7
1713,1713,IT4100,Đồ họa và hiện thực ảo,3(3-1-0-6),3,4,0.7
1714,1714,IT4110,Tính toán khoa học,3(3-1-0-6),3,4,0.7
1715,1715,IT4120,Các hệ cơ sở tri thức,2(2-1-0-4),2,3,0.7
1716,1716,IT4130,Lập trình song song,2(2-1-0-4),2,3,0.7
1717,1717,IT4150,Kỹ thuật mạng,2(2-1-0-4),2,3,0.6
1718,1718,IT4160,Vi xử lý,3(3-1-0-6),3,4,0.6
1719,1719,IT4170,Xử lý tín hiệu số,2(2-1-0-4),2,3,0.6
1720,1720,IT4180,Chương trình dịch,2(2-1-0-4),2,3,0.6
1721,1721,IT4200,Kỹ thuật ghép nối máy tính,3(3-1-0-6),3,4,0.6
1722,1722,IT4210,Hệ nhúng,3(3-0-1-6),3,4.5,0.6
1723,1723,IT4240,Quản trị dự án công nghệ thông tin,2(2-1-0-4),2,3,0.6
1724,1724,IT4250,Thiết kế IC,2(2-1-0-4),2,3,0.6
1725,1725,IT4260,An ninh mạng,2(2-1-0-4),2,3,0.7
1726,1726,IT4270,Hệ thống máy tính công nghiệp,2(2-1-0-4),2,3,0.6
1727,1727,IT4290,Xử lý tiếng nói,2(2-1-0-4),2,3,0.6
1728,1728,IT4300,An toàn các hệ thống thông tin,2(2-1-0-4),2,3,0.7
1729,1729,IT4310,Cơ sở dữ liệu nâng cao,3(3-1-0-6),3,4,0.7
1730,1730,IT4330,Hệ quản trị cơ sở dữ liệu,3(2-0-2-6),3,5,0.7
1731,1731,IT4340,Hệ trợ giúp quyết định,3(3-1-0-6),3,4,0.7
1732,1732,IT4360,Hệ cơ sở tri thức,3(3-1-0-6),3,4,0.7
1733,1733,IT4370,Mô hình các hệ thống phân tán,3(3-1-0-6),3,4,0.7
1734,1734,IT4400,Công nghệ Web và dịch vụ trực tuyến,2(2-1-0-4),2,3,0.7
1735,1735,IT4410,Nhập môn tương tác người-máy,2(2-1-0-4),2,3,0.6
1736,1736,IT4440,Tương tác Người –Máy,3(3-1-0-6),3,4,0.7
1737,1737,IT4460,Phân tích yêu cầu phần mềm,2(2-1-0-4),2,3,0.7
1738,1738,IT4470,Đồ họa và hiện thực ảo,3(3-1-0-6),3,4,0.6
1739,1739,IT4480,Làm việc nhóm và kỹ năng giao tiếp,2(2-1-0-4),2,3,0.6
1740,1740,IT4490,Thiết kế và xây dựng phần mềm,3(2-1-1-6),3,4.5,0.5
1741,1741,IT4500,Đảm bảo chất lượng phần mềm,3(3-1-0-6),3,4,0.7
1742,1742,IT4510,An toàn phần mềm và hệ thống,3(3-1-0-6),3,4,0.7
1743,1743,IT4520,Kinh tế công nghệ phần mềm,2(2-1-0-4),2,3,0.7
1744,1744,IT4530,Kỹ năng lập báo cáo kỹ thuật và dự án,1(1-1-0-2),1,2,0.7
1745,1745,IT4540,Quản lý dự án phần mềm,3(3-1-0-6),3,4,0.7
1746,1746,IT4560,Kỹ thuật truyền thông,3(3-1-0-6),3,4,0.7
1747,1747,IT4590,Lý thuyết thông tin,2(2-1-0-4),2,3,0.7
1748,1748,IT4600,Thiết bị truyền thông và mạng,2(2-0-1-4),2,3.5,0.7
1749,1749,IT4610,Hệ phân tán,2(2-1-0-4),2,3,0.6
1750,1750,IT4620,Xử lý dữ liệu đa phương tiện,2(2-1-0-4),2,3,0.7
1751,1751,IT4650,Thiết kế mạng Intranet,2(2-1-0-4),2,3,0.7
1752,1752,IT4660,Quản trị cơ sở dữ liệu phân tán,2(2-0-1-4),2,3.5,0.7
1753,1753,IT4670,Đánh giá hiệu năng mạng,2(2-1-0-4),2,3,0.7
1754,1754,IT4680,Truyền thông đa phương tiện và ứng dụng,2(2-0-1-4),2,3.5,0.7
1755,1755,IT4690,Mạng không dây và truyền thông di động,2(2-1-0-4),2,3,0.7
1756,1756,IT4700,Các hệ thống thông tin vệ tinh,2(2-1-0-4),2,3,0.7
1757,1757,IT4751,Ngôn ngữ mô hình hóa UML,2(2-1-0-4),2,3,0.7
1758,1758,IT4752,Tính toán song song,2(2-1-0-4),2,3,0.7
1759,1759,IT4753,Nhâp môn học máy,2(2-1-0-4),2,3,0.7
1760,1760,IT4754,Tìm kiếm cục bộ dựa trên ràng buộc,2(2-1-0-4),2,3,0.6
1761,1761,IT4755,Hệ chuyên gia,2(2-1-0-4),2,3,0.7
1762,1762,IT4761,Nhập môn khai phá dữ liệu,2(2-1-0-4),2,3,0.7
1763,1763,IT4762,Ngữ nghĩa của ngôn ngữ lập trình,2(2-1-0-4),2,3,0.7
1764,1764,IT4763,Tối ưu hoá tổ hợp,2(2-1-0-4),2,3,0.7
1765,1765,IT4764,Nhập môn hệ trợ giúp quyết định,2(2-1-0-4),2,3,0.7
1766,1766,IT4771,Sinh – Tin học,3(3-1-0-6),3,4,0.7
1767,1767,IT4772,Xử lý ngôn ngữ tự nhiên,3(3-1-0-6),3,4,0.6
1768,1768,IT4773,Cơ sở thuật toán trong trí tuệ nhân tạo,3(3-1-0-6),3,4,0.7
1769,1769,IT4774,Nhập môn nén dữ liệu,3(3-1-0-6),3,4,0.7
1770,1770,IT4776,Cơ sở thuật toán của lý thuyết mã hoá,3(3-1-0-6),3,4,0.7
1771,1771,IT4777,Hình học tính toán,3(3-1-0-6),3,4,0.7
1772,1772,IT4778,Lập trình hệ thống,3(3-1-0-6),3,4,0.7
1773,1773,IT4781,Lập trình Windows,2(2-1-0-4),2,3,0.6
1774,1774,IT4782,Lập trình .NET,2(2-0-0-4),2,2,0.6
1775,1775,IT4791,Công nghệ mạch in,2(2-1-0-4),2,3,0.6
1776,1776,IT4793,Phân tích và thiết kế mạch điện tử,2(2-1-0-4),2,3,0.6
1777,1777,IT4795,Các công nghệ truyền thông,2(2-1-0-4),2,3,0.6
1778,1778,IT4802,Lập trình xử lý tín hiệu số,2(2-1-0-4),2,3,0.6
1779,1779,IT4804,Đa phương tiện,2(2-1-0-4),2,3,0.6
1780,1780,IT4805,Mạng nơron,2(2-0-0-4),2,2,0.6
1781,1781,IT4807,Điều chế tương tự và số,2(2-1-0-4),2,3,0.6
1782,1782,IT4812,Lập trình an toàn,2(2-1-0-4),2,3,0.6
1783,1783,IT4815,Quản trị mạng,2(2-1-0-4),2,2,0.6
1784,1784,IT4822,Lập trình hệ nhúng,2(2-1-0-4),2,3,0.6
1785,1785,IT4825,Robot,2(2-1-0-4),2,3,0.6
1786,1786,IT4828,Các bộ điều khiển khả trình,2(2-1-0-4),2,3,0.6
1787,1787,IT4833,Ngôn ngữ lập trình khai báo,2(2-1-0-4),2,3,0.7
1788,1788,IT4841,Công nghệ tác tử,3(3-1-0-6),3,4,0.7
1789,1789,IT4843,Tích hợp dữ liệu và XML,3(3-1-0-6),3,4,0.7
1790,1790,IT4844,Xử lý thông tin mờ,3(3-1-0-6),3,4,0.7
1791,1791,IT4851,Hệ cơ sở dữ liệu đa phương tiện,3(3-1-0-6),3,4,0.7
1792,1792,IT4852,Thiết kế và quản trị cơ sở dữ liệu,3(3-1-0-6),3,4,0.7
1793,1793,IT4853,Tìm kiếm thông tin và trình diễn thông tin,3(3-1-0-6),3,4,0.7
1794,1794,IT4854,Quản trị dự án,3(3-1-0-6),3,4,0.7
1795,1795,IT4861,Thu thập và quản trị tri thức,3(3-1-0-6),3,4,0.7
1796,1796,IT4862,Học máy,3(3-1-0-6),3,4,0.7
1797,1797,IT4864,Ontology và Web ngữ nghĩa,3(3-1-0-6),3,4,0.7
1798,1798,IT4872,Xây dựng ứng dụng hệ thống thông tin,3(2-1-1-6),3,4.5,0.7
1799,1799,IT4874,Nhập môn chương trình dịch,3(3-1-0-6),3,4,0.7
1800,1800,IT4881,Tính toán mềm và Trí tuệ nhân tạo,3(3-1-0-6),3,4,0.7
1801,1801,IT4882,Mật mã và Ứng dụng,3(3-1-0-6),3,4,0.7
1802,1802,IT4883,Phát triển phần mềm phân tán,3(3-1-0-6),3,4,0.7
1803,1803,IT4884,Các hệ thống nhúng và thời gian thực,3(3-1-0-6),3,4,0.7
1804,1804,IT4891,Quản lý cấu hình phần mềm,3(3-1-0-6),3,4,0.7
1805,1805,IT4892,Phương pháp và công cụ đánh giá phần mềm,3(3-1-0-6),3,4,0.7
1806,1806,IT4895,Công nghệ Web tiên tiến,2(2-1-0-4),2,3,0.7
1807,1807,IT4896,Các hệ thống dung lỗi và thích nghi,2(2-1-0-4),2,3,0.7
1808,1808,IT4899,Hệ thống hướng tác tử,2(2-1-0-4),2,3,0.7
1809,1809,IT4900,Thực tập chuyên ngành,2(0-0-4-8),2,4,0.5
1810,1810,IT4901,Xử lý tín hiệu ngẫu nhiên,2(2-1-0-4),2,3,0.7
1811,1811,IT4903,Nhập môn trí tuệ nhân tạo,2(2-1-0-4),2,3,0.7
1812,1812,IT4904,Nhập môn tính toán lưới,2(2-1-0-4),2,3,0.7
1813,1813,IT4913,Nhập môn hệ thống nhúng,2(2-1-0-4),2,3,0.7
1814,1814,IT4915,Nhập môn công nghệ tác tử,2(2-1-0-4),2,3,0.7
1815,1815,IT4916,Các kỹ thuật chuyển mạch,2(2-1-0-4),2,3,0.7
1816,1816,IT4921,Các giao thức định tuyến,2(2-1-0-4),2,3,0.7
1817,1817,IT4922,Mạng thế hệ sau,2(2-1-0-4),2,3,0.6
1818,1818,IT4923,Mạng công nghiệp,2(2-1-0-4),2,3,0.7
1819,1819,IT4924,Tính toán di động,2(2-1-0-4),2,3,0.7
1820,1820,IT4925,Mô phỏng các hệ thống truyền thông,2(2-1-0-4),2,3,0.7
1821,1821,IT4927,Web thế hệ mới,2(2-1-0-4),2,3,0.7
1822,1822,IT5000,Thực tập tốt nghiệp,4(0-0-8-16),4,10,0.5
1823,1823,IT5100,Đồ án tốt nghiệp,10(0-0-20-40),10,25,0.5
1824,1824,FL3080,Phương pháp nghiên cứu khoa học,3(3-1-0-6),3,4,0.5
1825,1825,FL3118,Tiếng Anh Kỹ thuật hạt nhân,2(2-0-0-4),2,2,0.7
1826,1826,FL3240,Phong cách học tiếng Anh,2(2-1-0-4),2,3,0.7
1827,1827,FL3340,Đối chiếu ngôn ngữ,2(2-1-0-4),2,3,0.6
1828,1828,FL3550,Phong cách học tiếng Việt,2(2-1-0-4),2,3,0.7
1829,1829,FL3560,Lý thuyết Tiếng Việt,2(2-0-0-4),2,2,0.7
1830,1830,FL3570,Kỹ năng giao tiếp cơ bản,2(2-0-0-4),2,2,0.6
1831,1831,FL4051,TA Kỹ thuật điện,2(2-1-0-4),2,3,0.6
1832,1832,FL4052,Tiếng Anh điện tử viễn thông,2(2-1-0-4),2,3,0.6
1833,1833,FL4053,Tiếng Anh Tin học & CNTT,4(4-2-0-8),4,6,0.5
1834,1834,FL4054,TA Cơ khí và luyện kim,3(2-2-0-6),3,4,0.5
1835,1835,FL4055,Tiếng Anh Kinh tế và kinh doanh,4(4-1-0-8),4,5,0.5
1836,1836,FL4056,Tiếng Anh KH Môi trường,4(4-1-0-8),4,5,0.6
1837,1837,FL4063,Thực hành dịch nói II,2(2-1-0-4),2,3,0.8
